FEMA No. and Substance,Beverages (ppm),Density
"2243 *CAROB BEAN, EXTRACT",66,1
"2244 *CARROT, OIL",3.1,0.94
2245 CARVACROL,26,0.978
2246 CARVACRYL ETHYL ETHER,13,0.958
2247 CARVEOL,13,0.958
2248 4-CARVOMENTHENOL,21,0.925
2249 CARVONE,850,0.965
2250 CARVYL ACETATE,11,0.975
2251 CARVYL PROPIONATE,1,0.985
2252 B-CARYOPHYLLENE,14,0.908
"2253 CASCARA, BITTERLESS, EXTRACT",100,1
"2254 *CASCARILLA BARK, EXTRACT",800,1
"2255 *CASCARILLA BARK, OIL",2.3,0.924
2256 *CASSIA—Cinnamomum cassia Blume,9.2,1
"2257 *CASSIA BARK, EXTRACT",310,1
"2258 *CASSIA BARK, OIL",3,1.07
2259 *CASSIA BUDS,1000,1
"2260 CASSIE, ABSOLUTE",0.96,1.05
"2261 *CASTOREUM, EXTRACT",5,0.98
"2262 *CASTOREUM, LIQUID",3.2,1
"2263 CASTOR, OIL [Ricinus communis L.]",140,0.961
"2264 CATECHU, EXTRACT",16,1
"2265 CATECHU, POWDER",45,1
2266 *CAYENNE,1,1
"2267 CEDAR LEAF, OIL",0.5,0.92
2268 *CELERY SEED,"1,000.00",1
"2269 *CELERY SEED, EXTRACT",240,1
"2270 *CELERY SEED, EXTRACT SOLID",150,1
"2271 *CELERY SEED, OIL",11,0.905
"2272 *CHAMOMILE FLOWER, ENGLISH, OIL",4.1,0.917
"2273 *CHAMOMILE FLOWER, HUNGARIAN, OIL",2.6,0.94
"2274 *CHAMOMILE FLOWER, ROMAN, EXTRACT",13,1
"2275 *CHAMOMILE FLOWER, ROMAN, OIL",2.3,0.917
"2276 *CHERRY BARK, WILD, EXTRACT",120,1
"2277 CHERRY LAUREL, OIL (FFPA)",-,1.066
"2278 CHERRY PITS, EXTRACT",150,1
2279 *CHERVIL,100,1
"2280 *CHICORY, EXTRACT",63,1
"2281 CINCHONA BARK, RED",3.7,1
"2282 CINCHONA BARK, RED, EXTRACT",100,1
"2283 *CINCHONA BARK, YELLOW",-,1
"2284 CINCHONA BARK, YELLOW, EXTRACT",100,1
"2285 CINCHONA, EXTRACT",10,1
2286 CINNAMALDEHYDE,9,1.053
2287 CINNAMALDEHYDE ETHYLENE GLYCOL ACETAL,-,1.115
2288 CINNAMIC ACID,31,1.248
2289 *CINNAMON,5.6,1
"2290 *CINNAMON BARK, EXTRACT",13,1
"2291 *CINNAMON BARK, OIL",5.5,1.03
"2292 *CINNAMON LEAF, OIL",6.8,1.065
2293 CINNAMYL ACETATE,2.7,1.057
2294 CINNAMYL ALCOHOL,8.8,1.044
2295 CINNAMYL ANTHRANILATE,6.8,1.18
2296 CINNAMYL BUTYRATE,1.6,1.02
2297 CINNAMYL iso-BUTYRATE,1.5,1.013
2298 CINNAMYL CINNAMATE,0.81,1.16
2299 CINNAMYL FORMATE,1.3,1.086
2300 CINNAMYL PHENYLACETATE,2.7,1.1
2301 CINNAMYL PROPIONATE,1,1.039
2302 CINNAMYL iso-VALERATE,2.2,1.004
2303 CITRAL,9.2,0.893
2304 CITRAL DIETHYL ACETAL,0.03,0.874
2305 CITRAL DIMETHYL ACETAL,6.3,0.89
2306 CITRIC ACID,"2,500.00",1.665
2307 CITRONELLAL,4,0.86
"2308 *CITRONELLA, OIL",17,0.908
2309 dL-CITRONELLOL,4.1,0.86
2310 CITRONELLOXYACETALDEHYDE,1,1.02
2311 CITRONELLYL ACETATE,3.4,0.901
2312 CITRONELLYL BUTYRATE,3.8,0.891
2313 CITRONELLYL iso-BUTYRATE,2.3,0.882
2314 CITRONELLYL FORMATE,14,0.897
2315 CITRONELLYL PHENYLACETATE,1.3,0.996
2316 CITRONELLYL PROPIONATE,3.1,0.895
2317 CITRONELLYL VALERATE,1,0.888
"2318 *CITRUS PEELS, EXTRACT",190,1
"2319 *CIVET, ABSOLUTE",1,0.93
2320 *CLARY,-,1
